product,uklegurl,eulexurl
additives,https://www.legislation.gov.uk/eur/2008/1333/contents,
flavourings,https://www.legislation.gov.uk/eur/2008/1334/contents,
smoke,https://www.legislation.gov.uk/eur/2013/1321/contents,
contaminants,https://www.legislation.gov.uk/eur/2006/1881/contents,
plastic,https://www.legislation.gov.uk/eur/2011/10/contents,
cellulose,https://www.legislation.gov.uk/eudr/2007/42/contents,
novel,https://www.legislation.gov.uk/eur/2017/2470/contents,
