Substance,Specific migration limit
Aluminium ,1 mg/kg food or food simulant
Barium ,1 mg/kg food or food simulant
Cobalt ,"0,05 mg/kg food or food simulant"
Copper ,5 mg/kg food or food simulant
Iron ,48 mg/kg food or food simulant
Lithium ,"0,6 mg/kg food or food simulant"
Manganese ,"0,6 mg/kg food or food simulant"
Nickel ,"0,02 mg/kg food or food simulant"
Zinc ,5 mg/kg food or food simulant.
