product,uklegurl,eulexurl
additives,https://www.legislation.gov.uk/eur/2008/1333/contents,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:02008R1333-20181029:en:NOT
flavourings,https://www.legislation.gov.uk/eur/2008/1334/contents,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:02008R1334-20190521:en:NOT
smoke,https://www.legislation.gov.uk/eur/2013/1321/contents,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R1321:en:NOT
contaminants,https://www.legislation.gov.uk/eur/2006/1881/contents,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:02006R1881-20180319:en:NOT
plastic,https://www.legislation.gov.uk/eur/2011/10/contents,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:02011R0010-20190519:en:NOT
cellulose,https://www.legislation.gov.uk/eudr/2007/42/contents,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32007L0042:en:NOT
novel,https://www.legislation.gov.uk/eur/2017/2470/contents,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:02017R2470-20190416:en:NOT
